Geography,Population Estimate (as of July 1) - 2012 - Both Sexes; Total,Population Estimate (as of July 1) - 2012 - Male; Total,Population Estimate (as of July 1) - 2012 - Female; Total,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2012 - Male; Total - Under 5 years,Population Estimate (as of July 1) - 2012 - Female; Total - Under 5 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2012 - Male; Total - 5 to 9 years,Population Estimate (as of July 1) - 2012 - Female; Total - 5 to 9 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2012 - Male; Total - 10 to 14 years,Population Estimate (as of July 1) - 2012 - Female; Total - 10 to 14 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2012 - Male; Total - 15 to 19 years,Population Estimate (as of July 1) - 2012 - Female; Total - 15 to 19 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2012 - Male; Total - 20 to 24 years,Population Estimate (as of July 1) - 2012 - Female; Total - 20 to 24 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2012 - Male; Total - 25 to 29 years,Population Estimate (as of July 1) - 2012 - Female; Total - 25 to 29 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2012 - Male; Total - 30 to 34 years,Population Estimate (as of July 1) - 2012 - Female; Total - 30 to 34 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2012 - Male; Total - 35 to 39 years,Population Estimate (as of July 1) - 2012 - Female; Total - 35 to 39 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2012 - Male; Total - 40 to 44 years,Population Estimate (as of July 1) - 2012 - Female; Total - 40 to 44 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2012 - Male; Total - 45 to 49 years,Population Estimate (as of July 1) - 2012 - Female; Total - 45 to 49 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2012 - Male; Total - 50 to 54 years,Population Estimate (as of July 1) - 2012 - Female; Total - 50 to 54 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2012 - Male; Total - 55 to 59 years,Population Estimate (as of July 1) - 2012 - Female; Total - 55 to 59 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2012 - Male; Total - 60 to 64 years,Population Estimate (as of July 1) - 2012 - Female; Total - 60 to 64 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2012 - Male; Total - 65 to 69 years,Population Estimate (as of July 1) - 2012 - Female; Total - 65 to 69 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2012 - Male; Total - 70 to 74 years,Population Estimate (as of July 1) - 2012 - Female; Total - 70 to 74 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2012 - Male; Total - 75 to 79 years,Population Estimate (as of July 1) - 2012 - Female; Total - 75 to 79 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2012 - Male; Total - 80 to 84 years,Population Estimate (as of July 1) - 2012 - Female; Total - 80 to 84 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2012 - Male; Total - 85 years and over,Population Estimate (as of July 1) - 2012 - Female; Total - 85 years and over,Population Estimate (as of July 1) - 2012 - Both Sexes; Under 18 years,Population Estimate (as of July 1) - 2012 - Male; Under 18 years,Population Estimate (as of July 1) - 2012 - Female; Under 18 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2012 - Male; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2012 - Female; Under 18 years - Under 5 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2012 - Male; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2012 - Female; Under 18 years - 5 to 13 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2012 - Male; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2012 - Female; Under 18 years - 14 to 17 years,Population Estimate (as of July 1) - 2012 - Both Sexes; 18 to 64 years,Population Estimate (as of July 1) - 2012 - Male; 18 to 64 years,Population Estimate (as of July 1) - 2012 - Female; 18 to 64 years,Population Estimate (as of July 1) - 2012 - Both Sexes; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2012 - Male; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2012 - Female; 18 to 64 years - 18 to 24 years,Population Estimate (as of July 1) - 2012 - Both Sexes; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2012 - Male; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2012 - Female; 18 to 64 years - 25 to 44 years,Population Estimate (as of July 1) - 2012 - Both Sexes; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2012 - Male; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2012 - Female; 18 to 64 years - 45 to 64 years,Population Estimate (as of July 1) - 2012 - Both Sexes; 65 years and over,Population Estimate (as of July 1) - 2012 - Male; 65 years and over,Population Estimate (as of July 1) - 2012 - Female; 65 years and over,Population Estimate (as of July 1) - 2012 - Both Sexes; 85 years and over,Population Estimate (as of July 1) - 2012 - Male; 85 years and over,Population Estimate (as of July 1) - 2012 - Female; 85 years and over,Population Estimate (as of July 1) - 2012 - Both Sexes; 16 years and over,Population Estimate (as of July 1) - 2012 - Male; 16 years and over,Population Estimate (as of July 1) - 2012 - Female; 16 years and over,Population Estimate (as of July 1) - 2012 - Both Sexes; 18 years and over,Population Estimate (as of July 1) - 2012 - Male; 18 years and over,Population Estimate (as of July 1) - 2012 - Female; 18 years and over,Population Estimate (as of July 1) - 2012 - Both Sexes; 15 to 44 years,Population Estimate (as of July 1) - 2012 - Male; 15 to 44 years,Population Estimate (as of July 1) - 2012 - Female; 15 to 44 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Median age (years),Population Estimate (as of July 1) - 2012 - Male; Median age (years),Population Estimate (as of July 1) - 2012 - Female; Median age (years)
Alabama,4842481,2347475,2495006,294067,149446,144621,297900,152067,145833,343475,175155,168320,346701,172853,173848,311698,153700,157998,305369,149604,155765,302217,146875,155342,346369,169103,177266,347913,168889,179024,327619,157218,170401,293834,139033,154801,271229,126657,144572,216922,99022,117900,88793,33694,55099,77916,24028,53888,1109911,565702,544209,293938,149784,144154,548026,279595,268431,2989485,1463033,1526452,479740,240407,239333,1225244,600779,624465,1285021,619308,665713,783936,340793,443143,89865,30133,59732,3647671,1741828,1905843,1901624,942706,958918,38.4,36.9,39.8,,,,,,,,,,,,,,,
Alaska,736307,385591,350716,54835,27991,26844,52056,26798,25258,52142,27180,24962,56355,30711,25644,60428,32376,28052,56562,29780,26782,50352,26266,24086,54726,28398,26328,56341,29313,27028,52286,27175,25111,42468,22255,20213,33041,17306,15735,23477,12088,11389,5985,2620,3365,4970,1774,3196,188278,96871,91407,55103,28235,26868,92266,47489,44777,467915,246416,221499,75359,40879,34480,203529,106807,96722,193057,100790,92267,78267,38989,39278,6853,2594,4259,522871,273236,249635,307258,161940,145318,33.6,33.2,34.0,,,,,,,,,,,,,,,
Arizona,6733840,3348080,3385760,437334,223791,213543,451726,230196,221530,461588,237285,224303,464412,241605,222807,445120,230980,214140,452072,232298,219774,447657,227547,220110,427022,212499,214523,417182,203330,213852,396209,188917,207292,378094,177171,200923,384496,180494,204002,336433,158335,178098,118328,51541,66787,109240,40571,68669,1618234,825137,793097,436633,223135,213498,831174,423623,407551,3881172,1942224,1938948,635984,329488,306496,1704916,869162,835754,1628812,790331,838481,1157736,533665,624071,142275,58181,84094,4763274,2344136,2419138,2609389,1336814,1272575,36.7,35.4,38.0,,,,,,,,,,,,,,,
Arkansas,2967726,1457487,1510239,191428,98540,92888,193284,98924,94360,203807,104181,99626,208061,105199,102862,191139,95924,95215,191634,95951,95683,189978,95069,94909,205544,101382,104162,202151,99350,102801,191373,92205,99168,174646,83206,91440,163249,76921,86328,133450,61979,71471,56248,22394,33854,52699,17250,35449,709024,362577,346447,191123,98220,92903,355592,181782,173810,1784462,884708,899754,285507,144535,140972,747275,373437,373838,754242,367321,386921,487415,216597,270818,59017,20974,38043,2204535,1067747,1136788,1153388,580338,573050,37.7,36.3,39.0,,,,,,,,,,,,,,,
California,38625139,19183449,19441690,2487395,1272967,1214428,2488902,1271644,1217258,2823960,1455101,1368859,2859303,1481300,1378003,2837549,1464601,1372948,2831956,1446293,1385663,2704042,1370856,1333186,2689819,1341984,1347835,2571634,1271185,1300449,2349435,1142574,1206861,2054473,982123,1072350,1811319,851656,959663,1432312,659696,772616,603280,245420,357860,628431,221397,407034,9157076,4677075,4480001,2508386,1283542,1224844,4548246,2323444,2224802,23712402,11914221,11798181,3931423,2040779,1890644,10640969,5393240,5247729,9699143,4765152,4933991,5319901,2359478,2960423,743585,275475,468110,27959465,13761538,14197927,16169606,8243647,7925959,35.8,34.6,37.0,,,,,,,,,,,,,,,
Colorado,5351218,2686359,2664859,335639,171230,164409,347953,178246,169707,339476,175729,163747,356190,185052,171138,391342,202296,189046,411419,212671,198748,402325,206692,195633,371635,185148,186487,371900,184483,187417,347782,170721,177061,311858,151662,160196,277271,134066,143205,212721,101535,111186,73145,29773,43372,73046,24480,48566,1240565,634879,605686,335438,171544,163894,642940,329266,313674,3253962,1649333,1604629,490871,255760,235111,1475371,757703,717668,1386646,685393,701253,739472,337817,401655,88364,32394,55970,3803709,1893201,1910508,2149551,1106791,1042760,36.4,35.5,37.4,,,,,,,,,,,,,,,
Connecticut,3594783,1752990,1841793,184766,94413,90353,196011,99943,96068,250832,128948,121884,229529,118634,110895,219903,112128,107775,218235,108733,109502,214927,105636,109291,291272,141757,149515,284955,139278,145677,257850,125459,132391,218723,105007,113716,189852,88886,100966,153250,70272,82978,77467,30370,47097,87069,27974,59095,782419,399805,382614,186637,95346,91291,373780,190501,183279,2250523,1108604,1141919,331032,170147,160885,889271,439674,449597,1033083,500417,532666,586999,253853,333146,91871,31163,60708,2757119,1321437,1435682,1381225,692007,689218,40.6,38.9,42.2,,,,,,,,,,,,,,,
Delaware,932596,451459,481137,55009,27881,27128,56247,28488,27759,64583,32652,31931,64913,32432,32481,61142,30577,30565,59406,29418,29988,57490,28142,29348,67556,32764,34792,66225,31799,34426,62126,29399,32727,58047,26918,31129,57919,26859,31060,48680,22480,26200,17195,7177,10018,16277,5417,10860,203341,103328,100013,55235,28180,27055,102287,51639,50648,562892,273572,289320,90965,45491,45474,227487,111798,115689,252863,120084,132779,166905,74394,92511,19837,7319,12518,692167,330103,362064,354769,175556,179213,39.5,37.9,41.0,,,,,,,,,,,,,,,
District of Columbia,662513,314626,347887,44878,22726,22152,37622,19126,18496,39925,18954,20971,60637,27380,33257,80376,36582,43794,75331,36096,39235,60021,29529,30492,38539,19534,19005,37270,18220,19050,35902,16894,19008,32544,14790,17754,28247,12458,15789,21120,9000,12120,9706,3517,6189,10692,3230,7462,111940,56386,55554,44462,22668,21794,58729,29526,29203,432099,205642,226457,86200,38935,47265,229571,110337,119234,145825,70809,75016,82022,33599,48423,12153,4006,8147,500944,233349,267595,318687,151604,167083,33.7,33.5,33.9,,,,,,,,,,,,,,,
Florida,19860330,9710876,10149454,1125998,576604,549394,1157587,591075,566512,1228553,631417,597136,1286031,655382,630649,1255671,639606,616065,1263707,634177,629530,1281406,638346,643060,1401202,691335,709867,1346743,653513,693230,1279244,606742,672502,1220155,567444,652711,1259891,585223,674668,1126022,521718,604304,482042,205933,276109,455887,168334,287553,4022103,2054745,1967358,1107483,566870,540613,2103074,1072433,1030641,11539617,5691938,5847679,1744815,891711,853104,4818793,2411019,2407774,5297126,2548972,2748154,4067409,1834078,2233331,571419,227285,344134,14802399,7144054,7658345,7249491,3657226,3592265,41.5,40.0,42.9,,,,,,,,,,,,,,,
Georgia,10069001,4908196,5160805,659787,335926,323861,685904,349371,336533,710186,363113,347073,701452,354934,346518,678227,338470,339757,686312,335390,350922,696009,336671,359338,722661,353137,369524,671656,325918,345738,611687,291980,319707,540472,251988,288484,496504,228546,267958,394443,179079,215364,129071,48520,80551,118726,35426,83300,2482743,1265143,1217600,658905,335715,323190,1271360,647362,623998,6164066,3018780,3145286,974871,494738,480133,2734141,1343736,1390405,2576467,1238280,1338187,1354408,589425,764983,146633,49450,97183,7197091,3457693,3739398,4133751,2057036,2076715,36.0,34.7,37.3,,,,,,,,,,,,,,,
